Subject,Start Date,Start Time,End Date,End Time,Description,Location,All Day Event
Dinner - Day 15,2026-08-15,19:30,2026-08-15,21:00,"Beetroot & Carrot Salad | Roti | White Rice | Mango Dal | Bachali Kura Pulusu (Malabar Spinach) | Adai Dosa -2 Pcs, Tomato Onion Chutney | Cabbage Beans Poriyal | Tomato Baingan Masala | Thick Curd | Muskmelon Cut Fruit | Red Chilli Pickle | Milk + Cofee Powder",,False
Breakfast - Day 16,2026-08-16,07:15,2026-08-16,09:00,"Shavige Bath | Paneer Paratha - 2 Pcs Thin | Coconut Chutney | Thick Curd, Mango Pickle | Brown Bread+Butter+Jam | Sprouts (1 small cup) | Egg Bhurji | Tea | Coffee | Milk",,False
Lunch - Day 16,2026-08-16,12:30,2026-08-16,14:00,Beetroot & Cucumber Salad | Chapathi | White Rice | Dal | Sambar | Chicken Dum Biryani/Vegetable Dum Biryani | Chicken Thick Gravy / Hyderabadi Mirchi Ka Salan | Onion Raitha | Fryums | Nannari Sharbath | Fresh Gongura Chutney | Vanilla Ice Cream (Made with Milk),,False
Snacks - Day 16,2026-08-16,16:45,2026-08-16,18:00,Dahi Puri (8 Pcs) | Onions | Masala Tea | Coffee | Milk,,False
Dinner - Day 16,2026-08-16,19:30,2026-08-16,21:00,"Beetroot & Carrot Salad | Pulka | White Rice | Red Lentil Dal | Rasam | Ragi Idly, Groundnut Chutney | Dondakaya Fry | Vegetable Kurma Gravy | Thick Curd | Papaya Cut Fruit | Tomato Pickle | Milk + Cofee Powder",,False
Breakfast - Day 17,2026-08-17,07:15,2026-08-17,09:00,Carrot Idly | Bhature - 2 Pcs Big | Groundnut Chutney | Chole Curry | Brown Bread+Butter+Jam | Sprouts (1 small cup) | Egg Bhurji | Tea | Coffee | Milk,,False
Lunch - Day 17,2026-08-17,12:30,2026-08-17,14:00,"Beetroot & Cucumber Salad | Chapathi | White Rice | Palak Dal | Sambar | Tomato Rice | Pesara Punugulu Curry (Pakka Andhra Style) | Drumstick Tomato Masala | Rava Vadiyalu | Butter Milk | Sorakaya Perugu Chutney, Ghee + Podi | Jilebi",,False
Snacks - Day 17,2026-08-17,16:45,2026-08-17,18:00,Dry Maggi | Tomato Sauce | Masala Tea | Coffee | Milk,,False
Dinner - Day 17,2026-08-17,19:30,2026-08-17,21:00,Onions & Lemon Salad | Methi Roti | White Rice | Pesara Pappu | Tomato Rasam | Bhagara Rice | Telangana Chicken Curry (Non-Veg) | Achari Paneer (Veg) | Ladies Finger Boiled Fry | Thick Curd | Mixed Fruit Salad | Gongura Pickle | Milk + Cofee Powder,,False
Breakfast - Day 18,2026-08-18,07:15,2026-08-18,09:00,Multi Grain Dosa (2 Pcs Thin) | Pav Bhaji | Coconut Chutney | Mint Chutney | White Bread+Butter+Jam | Sprouts (1 small cup) | Scrambled Egg | Tea | Coffee | Milk,,False
Lunch - Day 18,2026-08-18,12:30,2026-08-18,14:00,Carrot & Cucumber Salad | Roti | White Rice | Amaranthus Dal | Beetroot Tomato Rasam | Bisbele Bath | Kakarakaya (Bitter Gourd) Fry | Rajma Masala | Potato Chips | Dahi Vada | Dosakaya Tomato Chutney,,False
Snacks - Day 18,2026-08-18,16:45,2026-08-18,18:00,Aloo Samosa 1 Big Pc | Tomato Sauce | Ginger Tea | Coffee | Milk,,False
Dinner - Day 18,2026-08-18,19:30,2026-08-18,21:00,Beetroot & Carrot Salad | Pulka | White Rice | Dal Makhani | Sambar | Mushroom Biryani | Snake Gourd Poriyal | Aloo Mutter Curry | Thick Curd | Guava Fruit | Tomato Pickle | Milk + Cofee Powder,,False
Breakfast - Day 19,2026-08-19,07:15,2026-08-19,09:00,"Methu Vada (Big size 3pcs, if not 4pcs) | Vegetable Dalia | Sambar | Coconut Chutney | Brown Bread+Butter+Jam | Sprouts (1 small cup) | Masala Onion Omlet | Tea | Coffee | Milk",,False
Lunch - Day 19,2026-08-19,12:30,2026-08-19,14:00,Onions & Lemon Salad | Palak Roti | White Rice | Gongura (Sorrel Leaves) Dal | Sambar | Vegetable Dum Pulav | Masala Fish Fry | Kaju Tomato Paneer Boiled Fry | Black Chana Masala | Trinagle Fryums | Butter Milk | Coriander + Tomato Chutney | Gulab Jamun,,False
Snacks - Day 19,2026-08-19,16:45,2026-08-19,18:00,Corn Vada | Onion Tomato Chutney | Masala Tea | Coffee | Milk,,False
Dinner - Day 19,2026-08-19,19:30,2026-08-19,21:00,"Beetroot & Carrot Salad | Chapathi | White Rice | Tomato Dal | Rasam | Sooji Upma, Coconut Chutney | Carrot Beans Poriyal | Soya Chunks Masala | Thick Curd | Pineapple Cut Fruit | Lemon Pickle | Milk + Cofee Powder",,False
Breakfast - Day 20,2026-08-20,07:15,2026-08-20,09:00,Onion & Carrot Uttappam (2 pcs standard size) | Poha | Sambar | Groundnut Chutney | White Bread+Butter+Jam | Sprouts (1 small cup) | Boiled Egg | Tea | Coffee | Milk,,False
Lunch - Day 20,2026-08-20,12:30,2026-08-20,14:00,Carrot & Cucumber Salad | Pulka | White Rice | Ridge Gourd Dal | Sambar | Pudina Rice | Guthi Vankaya Curry | Cluster Beans Masala | Finger Fryums | Lemon Water | Potlakaya Perugu Chutney,,False
Snacks - Day 20,2026-08-20,16:45,2026-08-20,18:00,Poha Cutlet | Mint Sauce | Ginger Tea | Coffee | Milk,,False
Dinner - Day 20,2026-08-20,19:30,2026-08-20,21:00,Beetroot & Carrot Salad | Roti | White Rice | Dal Maharani | Beetroot Tomato Rasam | Veg Manchuria | Arbi Ka Gravy | Thick Curd | Banana | Ginger Pickle | Milk + Cofee Powder,,False
Breakfast - Day 21,2026-08-21,07:15,2026-08-21,09:00,Uggani + Mirchi Bajji | Basin Chilla (2 Pcs thin) or Methi Roti | Coconut Chutney | Green Peas + Tomato Sabji | Brown Bread+Butter+Jam | Sprouts (1 small cup) | Boiled Egg | Tea | Coffee | Milk,,False
Lunch - Day 21,2026-08-21,12:30,2026-08-21,14:00,Beetroot & Cucumber Salad | Chapathi | White Rice | Dal Tadka | Rasam | Jeera Rice | Raw Banana Fry | Yam ka Gravy | Papad | Lassi | Beerakaya Chutney | Semiya Payasam,,False
Snacks - Day 21,2026-08-21,16:45,2026-08-21,18:00,Palak Pakoda | Mint Sauce | Masala Tea | Coffee | Milk,,False
Dinner - Day 21,2026-08-21,19:30,2026-08-21,21:00,Onions & Lemon Salad | Lacha Paratha | White Rice | Pesara Pappu | Sambar | Chicken Tikka Masala (Non-Veg) | Kadai Paneer (Veg) | Tomato Peas Capsicum Masala | Thick Curd | Grapes | Mango Pickle | Milk + Cofee Powder,,False
Breakfast - Day 22,2026-08-22,07:15,2026-08-22,09:00,Masala Ghee Roast Dosa | Vada Pav | Groundnut Chutney | Mint Chutney | Brown Bread+Butter+Jam | Sprouts (1 small cup) | Scrambled Egg | Tea | Coffee | Milk,,False
Lunch - Day 22,2026-08-22,12:30,2026-08-22,14:00,Carrot & Cucumber Salad | Pulka | White Rice | Mudda Pappu | Beetroot Tomato Rasam | Pulihora (Tamarind Rice) | Majiga Pulusu | Chole Soya Chunks Curry | Papad | Lemon Water | Avakaya (Mango Pickle),,False
Snacks - Day 22,2026-08-22,16:45,2026-08-22,18:00,Mysore Bonda 2 Pcs Std Size | Coconut Chutney | Masala Tea | Coffee | Milk,,False
